
[2018-12-15 11:20:49][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][STARTED READ]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 1]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 2]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 3]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 4]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 5]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 6]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 7]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 8]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 9]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 10]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 11]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 12]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 13]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 14]
[2018-12-15 11:20:51][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 15]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 16]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 17]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 18]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 19]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 20]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 21]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 22]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 23]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 24]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 25]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 26]
[2018-12-15 11:20:53][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 27]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 28]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 29]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 30]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 31]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 32]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 33]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 34]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 35]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 36]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 37]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 38]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 39]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 40]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 41]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 42]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 43]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 44]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 45]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 46]
[2018-12-15 11:20:54][HOST: olivo.fis.usal.es][PROTOCOL: UDP][FILE: test6.gif][RECIVED: 47]
