
[2018-12-5 7:53:53][ISSUE][STARTED UDP]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][CONNECTION STARTED][READ MODE]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:0]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:1]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:2]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:3]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:4]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:5]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:6]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:7]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:8]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:9]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:10]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:11]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:12]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:13]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:14]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:15]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:16]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:17]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:18]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:19]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:20]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:21]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:22]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:23]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:24]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:25]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:26]
