
[2018-12-3 21:23:42][Host: ][IP:][Protocol:UDP][Port:0][CONNECTION STARTED][WRITE MODE]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:2]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][CONNECTION STARTED][READ MODE]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:3]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:0]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:4]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:1]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:5]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:2]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:6]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:3]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:7]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:4]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:8]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:5]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:9]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:6]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:10]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:7]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:11]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:8]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:12]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:9]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:13]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:10]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:14]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:11]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:15]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:12]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:13]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:16]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:14]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:17]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:15]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:18]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:16]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:19]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:17]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:20]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:21]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:18]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Recived block:22]
[2018-12-3 21:23:43][Host: ][IP:][Protocol:UDP][Port:0][File test.mp4][Send block:19]
