
[2018-11-28 22:38:4][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][CONNECTION STARTED]
[2018-11-28 22:38:4][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:0]
[2018-11-28 22:38:4][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:1]
[2018-11-28 22:38:4][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:2]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:3]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:4]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:5]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:6]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:7]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:8]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:9]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:10]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:11]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:12]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:13]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:14]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:15]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:16]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:17]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:18]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:19]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:20]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:21]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:22]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:23]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:24]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:25]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:26]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:27]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:28]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SEND BLOCK:29]
[2018-11-28 22:38:5][Host: 192.168.70.1][IP:192.168.70.1][Protocol:TCP][Port:56827][File utils/bible.txt][SUCCED]
